Disease,Fiscal Year,Gender,Age Group,Population,Incidence,Prevalence,Mortality with Disease,Mortality without Disease
Diabetes,1999,F,1 to 4,651470,150.0,340,0.0,220.0
Diabetes,1999,F,5 to 9,918920,280.0,1230,0.0,110.0
Diabetes,1999,F,10 to 14,910710,390.0,2250,0.0,100.0
Diabetes,1999,F,15 to 19,918890,480.0,3360,10.0,280.0
Diabetes,1999,F,20 to 24,913070,700.0,4570,10.0,310.0
Diabetes,1999,F,25 to 29,947240,1270.0,7000,20.0,330.0
Diabetes,1999,F,30 to 34,1058660,1990.0,10700,30.0,430.0
Diabetes,1999,F,35 to 39,1250620,3080.0,17200,80.0,790.0
Diabetes,1999,F,40 to 44,1202800,4290.0,24120,110.0,1260.0
Diabetes,1999,F,45 to 49,1068500,5660.0,33080,200.0,1600.0
Diabetes,1999,F,50 to 54,940540,7100.0,45360,400.0,2160.0
Diabetes,1999,F,55 to 59,719670,7260.0,49780,620.0,2580.0
Diabetes,1999,F,60 to 64,594440,7570.0,56620,950.0,3190.0
Diabetes,1999,F,65 to 69,556600,8120.0,66130,1660.0,4610.0
Diabetes,1999,F,70 to 74,514330,8050.0,70780,2570.0,6890.0
Diabetes,1999,F,75 to 79,448370,7270.0,64550,3650.0,10020.0
Diabetes,1999,F,80 to 84,298460,4640.0,41640,3690.0,12020.0
Diabetes,1999,F,85+,294630,4180.0,34280,5670.0,29840.0
Diabetes,1999,M,1 to 4,680830,200.0,440,0.0,300.0
Diabetes,1999,M,5 to 9,964770,280.0,1420,0.0,130.0
Diabetes,1999,M,10 to 14,956110,410.0,2350,0.0,200.0
Diabetes,1999,M,15 to 19,968450,480.0,3570,10.0,580.0
Diabetes,1999,M,20 to 24,937610,570.0,4230,10.0,790.0
Diabetes,1999,M,25 to 29,952890,970.0,5850,20.0,730.0
Diabetes,1999,M,30 to 34,1053050,1800.0,9900,50.0,950.0
Diabetes,1999,M,35 to 39,1254310,3290.0,17680,90.0,1430.0
Diabetes,1999,M,40 to 44,1197910,5350.0,28160,180.0,1940.0
Diabetes,1999,M,45 to 49,1060470,7690.0,42180,380.0,2460.0
Diabetes,1999,M,50 to 54,941360,10100.0,61880,650.0,3220.0
Diabetes,1999,M,55 to 59,716210,10140.0,68550,1140.0,3940.0
Diabetes,1999,M,60 to 64,572650,9860.0,72650,1750.0,5060.0
Diabetes,1999,M,65 to 69,517380,10210.0,78720,2780.0,7420.0
Diabetes,1999,M,70 to 74,431760,8660.0,73590,3910.0,9970.0
Diabetes,1999,M,75 to 79,321030,6340.0,56340,4550.0,12160.0
Diabetes,1999,M,80 to 84,180630,3430.0,30230,3730.0,11230.0
Diabetes,1999,M,85+,131070,2040.0,18220,3590.0,16200.0
Diabetes,2000,F,1 to 4,634650,170.0,370,0.0,200.0
Diabetes,2000,F,5 to 9,908790,320.0,1400,0.0,80.0
Diabetes,2000,F,10 to 14,924990,410.0,2390,0.0,130.0
Diabetes,2000,F,15 to 19,925370,420.0,3530,10.0,250.0
Diabetes,2000,F,20 to 24,923520,780.0,4950,20.0,290.0
Diabetes,2000,F,25 to 29,941100,1340.0,7650,30.0,310.0
Diabetes,2000,F,30 to 34,1045940,2040.0,11700,40.0,420.0
Diabetes,2000,F,35 to 39,1237520,3260.0,18890,50.0,760.0
Diabetes,2000,F,40 to 44,1226940,4360.0,26820,100.0,1090.0
Diabetes,2000,F,45 to 49,1101330,5760.0,36530,230.0,1580.0
Diabetes,2000,F,50 to 54,981570,7650.0,50920,430.0,2270.0
Diabetes,2000,F,55 to 59,746570,7440.0,55130,600.0,2570.0
Diabetes,2000,F,60 to 64,608870,7260.0,61100,950.0,3140.0
Diabetes,2000,F,65 to 69,555160,7920.0,70380,1620.0,4430.0
Diabetes,2000,F,70 to 74,517570,7650.0,75670,2600.0,6470.0
Diabetes,2000,F,75 to 79,453750,6740.0,70340,3720.0,9620.0
Diabetes,2000,F,80 to 84,313300,4470.0,46870,3950.0,11940.0
Diabetes,2000,F,85+,306740,3970.0,38710,6280.0,30760.0
Diabetes,2000,M,1 to 4,664110,210.0,470,0.0,250.0
Diabetes,2000,M,5 to 9,953070,320.0,1540,0.0,180.0
Diabetes,2000,M,10 to 14,970700,490.0,2620,0.0,150.0
Diabetes,2000,M,15 to 19,976300,400.0,3770,10.0,530.0
Diabetes,2000,M,20 to 24,950140,540.0,4500,20.0,700.0
Diabetes,2000,M,25 to 29,947060,950.0,6210,30.0,710.0
Diabetes,2000,M,30 to 34,1040950,1850.0,10530,50.0,880.0
Diabetes,2000,M,35 to 39,1245060,3400.0,19220,90.0,1340.0
Diabetes,2000,M,40 to 44,1225920,5400.0,30680,170.0,1790.0
Diabetes,2000,M,45 to 49,1092550,7700.0,46440,370.0,2410.0
Diabetes,2000,M,50 to 54,980440,10440.0,68690,640.0,3380.0
Diabetes,2000,M,55 to 59,744660,10320.0,76250,1140.0,3950.0
Diabetes,2000,M,60 to 64,586890,9870.0,79410,1770.0,4940.0
Diabetes,2000,M,65 to 69,516890,9610.0,84390,2730.0,6950.0
Diabetes,2000,M,70 to 74,441420,8290.0,80660,4010.0,9580.0
Diabetes,2000,M,75 to 79,328060,5880.0,61490,4720.0,11620.0
Diabetes,2000,M,80 to 84,191190,3300.0,34500,4000.0,11410.0
Diabetes,2000,M,85+,136970,2070.0,20550,4030.0,16490.0
Diabetes,2001,F,1 to 4,619920,170.0,390,0.0,180.0
Diabetes,2001,F,5 to 9,892550,300.0,1490,0.0,100.0
Diabetes,2001,F,10 to 14,940210,400.0,2520,0.0,100.0
Diabetes,2001,F,15 to 19,930820,470.0,3720,10.0,260.0
Diabetes,2001,F,20 to 24,935770,800.0,5390,10.0,280.0
Diabetes,2001,F,25 to 29,939180,1440.0,8310,10.0,310.0
Diabetes,2001,F,30 to 34,1039430,2290.0,12900,30.0,470.0
Diabetes,2001,F,35 to 39,1213210,3560.0,20750,70.0,770.0
Diabetes,2001,F,40 to 44,1248310,4800.0,29790,110.0,1150.0
Diabetes,2001,F,45 to 49,1132250,6200.0,40250,220.0,1640.0
Diabetes,2001,F,50 to 54,996060,7770.0,54500,410.0,2190.0
Diabetes,2001,F,55 to 59,801060,8100.0,62820,700.0,2650.0
Diabetes,2001,F,60 to 64,628860,7600.0,66240,990.0,3110.0
Diabetes,2001,F,65 to 69,555160,7860.0,74510,1690.0,4270.0
Diabetes,2001,F,70 to 74,521500,7620.0,80750,2720.0,6560.0
Diabetes,2001,F,75 to 79,456590,6690.0,75300,3940.0,9320.0
Diabetes,2001,F,80 to 84,329770,4480.0,52700,4270.0,12270.0
Diabetes,2001,F,85+,317960,4020.0,42930,6820.0,31030.0
Diabetes,2001,M,1 to 4,648920,180.0,460,0.0,240.0
Diabetes,2001,M,5 to 9,936490,310.0,1660,0.0,120.0
Diabetes,2001,M,10 to 14,986220,440.0,2740,0.0,180.0
Diabetes,2001,M,15 to 19,982210,420.0,4010,10.0,560.0
Diabetes,2001,M,20 to 24,963500,530.0,4810,20.0,760.0
Diabetes,2001,M,25 to 29,945370,1010.0,6550,20.0,740.0
Diabetes,2001,M,30 to 34,1034190,2080.0,11390,60.0,850.0
Diabetes,2001,M,35 to 39,1221470,3670.0,20830,90.0,1300.0
Diabetes,2001,M,40 to 44,1249680,5960.0,33670,170.0,1830.0
Diabetes,2001,M,45 to 49,1124820,8400.0,50840,380.0,2500.0
Diabetes,2001,M,50 to 54,993100,10840.0,73500,780.0,3210.0
Diabetes,2001,M,55 to 59,799020,11090.0,86280,1310.0,4080.0
Diabetes,2001,M,60 to 64,607710,10060.0,86980,1850.0,5000.0
Diabetes,2001,M,65 to 69,517600,9610.0,90280,2820.0,6600.0
Diabetes,2001,M,70 to 74,450190,8400.0,87370,4130.0,9290.0
Diabetes,2001,M,75 to 79,334760,6100.0,67210,4860.0,11340.0
Diabetes,2001,M,80 to 84,203070,3430.0,39090,4400.0,11440.0
Diabetes,2001,M,85+,142450,2100.0,22850,4360.0,16770.0
Diabetes,2002,F,1 to 4,612000,160.0,400,10.0,160.0
Diabetes,2002,F,5 to 9,874750,290.0,1510,0.0,100.0
Diabetes,2002,F,10 to 14,952210,390.0,2680,0.0,120.0
Diabetes,2002,F,15 to 19,933970,490.0,3940,10.0,230.0
Diabetes,2002,F,20 to 24,948460,840.0,5830,10.0,280.0
Diabetes,2002,F,25 to 29,944360,1480.0,8940,30.0,280.0
Diabetes,2002,F,30 to 34,1032940,2330.0,14090,30.0,410.0
Diabetes,2002,F,35 to 39,1178670,3660.0,22350,70.0,680.0
Diabetes,2002,F,40 to 44,1264440,5080.0,32770,140.0,1130.0
Diabetes,2002,F,45 to 49,1165940,6520.0,44170,240.0,1690.0
Diabetes,2002,F,50 to 54,1012920,8290.0,58690,470.0,2150.0
Diabetes,2002,F,55 to 59,853070,9010.0,70880,730.0,2770.0
Diabetes,2002,F,60 to 64,655120,8190.0,72210,1100.0,3330.0
Diabetes,2002,F,65 to 69,558330,7960.0,78750,1680.0,4300.0
Diabetes,2002,F,70 to 74,523650,7840.0,85690,2700.0,6210.0
Diabetes,2002,F,75 to 79,459730,6860.0,80520,4000.0,9300.0
Diabetes,2002,F,80 to 84,346550,4780.0,58950,4750.0,12430.0
Diabetes,2002,F,85+,328010,3970.0,47090,7610.0,31410.0
Diabetes,2002,M,1 to 4,641260,180.0,450,0.0,230.0
Diabetes,2002,M,5 to 9,917830,290.0,1700,0.0,140.0
Diabetes,2002,M,10 to 14,999760,450.0,2940,0.0,180.0
Diabetes,2002,M,15 to 19,983910,500.0,4290,10.0,530.0
Diabetes,2002,M,20 to 24,978030,550.0,5190,10.0,710.0
Diabetes,2002,M,25 to 29,949550,980.0,6880,20.0,660.0
Diabetes,2002,M,30 to 34,1027320,2030.0,12040,60.0,860.0
Diabetes,2002,M,35 to 39,1184720,3790.0,22070,100.0,1180.0
Diabetes,2002,M,40 to 44,1267820,6320.0,36660,220.0,1820.0
Diabetes,2002,M,45 to 49,1160310,8830.0,55410,390.0,2510.0
Diabetes,2002,M,50 to 54,1007530,11140.0,78080,760.0,3410.0
Diabetes,2002,M,55 to 59,848830,12010.0,96460,1290.0,4260.0
Diabetes,2002,M,60 to 64,635790,10870.0,96120,1970.0,4990.0
Diabetes,2002,M,65 to 69,521150,9660.0,96380,2850.0,6460.0
Diabetes,2002,M,70 to 74,456990,8440.0,93730,4230.0,8970.0
Diabetes,2002,M,75 to 79,343280,6240.0,73320,5230.0,11000.0
Diabetes,2002,M,80 to 84,215230,3420.0,43870,4620.0,11610.0
Diabetes,2002,M,85+,147320,2070.0,25080,4750.0,16690.0
Diabetes,2003,F,1 to 4,607090,170.0,380,0.0,150.0
Diabetes,2003,F,5 to 9,856780,280.0,1560,0.0,60.0
Diabetes,2003,F,10 to 14,957230,460.0,2940,0.0,100.0
Diabetes,2003,F,15 to 19,940020,490.0,4130,10.0,230.0
Diabetes,2003,F,20 to 24,963350,830.0,6180,20.0,300.0
Diabetes,2003,F,25 to 29,955210,1460.0,9510,20.0,280.0
Diabetes,2003,F,30 to 34,1024660,2390.0,15180,40.0,420.0
Diabetes,2003,F,35 to 39,1143400,3510.0,23590,60.0,640.0
Diabetes,2003,F,40 to 44,1280230,5110.0,35510,150.0,1130.0
Diabetes,2003,F,45 to 49,1193800,6560.0,48070,250.0,1690.0
Diabetes,2003,F,50 to 54,1039240,8110.0,62680,470.0,2310.0
Diabetes,2003,F,55 to 59,895400,9130.0,78200,760.0,2870.0
Diabetes,2003,F,60 to 64,684330,8520.0,78820,1260.0,3380.0
Diabetes,2003,F,65 to 69,568300,7990.0,83810,1720.0,4280.0
Diabetes,2003,F,70 to 74,524480,7510.0,89610,2880.0,6190.0
Diabetes,2003,F,75 to 79,461210,6400.0,84980,4180.0,9130.0
Diabetes,2003,F,80 to 84,361340,4990.0,65210,5160.0,12640.0
Diabetes,2003,F,85+,339020,3950.0,51220,8150.0,32680.0
Diabetes,2003,M,1 to 4,636230,190.0,460,0.0,230.0
Diabetes,2003,M,5 to 9,898250,330.0,1730,0.0,120.0
Diabetes,2003,M,10 to 14,1005000,490.0,3200,10.0,140.0
Diabetes,2003,M,15 to 19,990640,440.0,4450,10.0,520.0
Diabetes,2003,M,20 to 24,994700,570.0,5510,20.0,760.0
Diabetes,2003,M,25 to 29,960850,960.0,7270,20.0,740.0
Diabetes,2003,M,30 to 34,1017800,2000.0,12470,50.0,810.0
Diabetes,2003,M,35 to 39,1147680,3700.0,22980,100.0,1190.0
Diabetes,2003,M,40 to 44,1286730,6220.0,39270,220.0,1770.0
Diabetes,2003,M,45 to 49,1191400,8670.0,59690,430.0,2600.0
Diabetes,2003,M,50 to 54,1030210,10640.0,82280,840.0,3330.0
Diabetes,2003,M,55 to 59,889080,11940.0,105530,1420.0,4280.0
Diabetes,2003,M,60 to 64,666390,10780.0,105000,2110.0,5070.0
Diabetes,2003,M,65 to 69,530480,9400.0,102740,3020.0,6120.0
Diabetes,2003,M,70 to 74,461730,8280.0,99500,4430.0,8930.0
Diabetes,2003,M,75 to 79,351760,5930.0,79180,5510.0,11000.0
Diabetes,2003,M,80 to 84,226530,3670.0,49010,5270.0,12020.0
Diabetes,2003,M,85+,153240,2100.0,27500,5220.0,17110.0
Diabetes,2004,F,1 to 4,606820,160.0,380,0.0,180.0
Diabetes,2004,F,5 to 9,838930,280.0,1550,0.0,80.0
Diabetes,2004,F,10 to 14,953620,410.0,3090,0.0,90.0
Diabetes,2004,F,15 to 19,951300,470.0,4340,10.0,210.0
Diabetes,2004,F,20 to 24,973330,820.0,6410,20.0,290.0
Diabetes,2004,F,25 to 29,967410,1410.0,9950,20.0,300.0
Diabetes,2004,F,30 to 34,1020200,2310.0,16100,30.0,340.0
Diabetes,2004,F,35 to 39,1115510,3500.0,24670,70.0,580.0
Diabetes,2004,F,40 to 44,1285410,5100.0,38250,140.0,1010.0
Diabetes,2004,F,45 to 49,1219050,6870.0,51580,250.0,1650.0
Diabetes,2004,F,50 to 54,1071350,8770.0,67700,450.0,2340.0
Diabetes,2004,F,55 to 59,938530,10140.0,86300,790.0,2930.0
Diabetes,2004,F,60 to 64,712650,9320.0,86200,1190.0,3330.0
Diabetes,2004,F,65 to 69,579360,8730.0,89290,1810.0,4050.0
Diabetes,2004,F,70 to 74,525040,8240.0,94480,2790.0,5910.0
Diabetes,2004,F,75 to 79,462730,7010.0,89700,4160.0,8660.0
Diabetes,2004,F,80 to 84,372220,5100.0,70890,5240.0,12660.0
Diabetes,2004,F,85+,352630,4200.0,56330,8550.0,32710.0
Diabetes,2004,M,1 to 4,635350,200.0,460,0.0,210.0
Diabetes,2004,M,5 to 9,878100,310.0,1760,0.0,100.0
Diabetes,2004,M,10 to 14,1002790,410.0,3330,10.0,150.0
Diabetes,2004,M,15 to 19,1000410,480.0,4620,10.0,510.0
Diabetes,2004,M,20 to 24,1006870,550.0,5820,20.0,790.0
Diabetes,2004,M,25 to 29,973940,1010.0,7630,30.0,700.0
Diabetes,2004,M,30 to 34,1009560,2020.0,12990,50.0,790.0
Diabetes,2004,M,35 to 39,1118660,3700.0,23690,90.0,1150.0
Diabetes,2004,M,40 to 44,1295550,6520.0,42060,220.0,1860.0
Diabetes,2004,M,45 to 49,1218090,9010.0,63640,440.0,2560.0
Diabetes,2004,M,50 to 54,1061250,11200.0,87370,800.0,3370.0
Diabetes,2004,M,55 to 59,930400,12920.0,114940,1510.0,4400.0
Diabetes,2004,M,60 to 64,696200,11580.0,114810,2150.0,5150.0
Diabetes,2004,M,65 to 69,542310,10190.0,110020,2980.0,6000.0
Diabetes,2004,M,70 to 74,465260,8530.0,105140,4340.0,8330.0
Diabetes,2004,M,75 to 79,359170,6460.0,85390,5500.0,10480.0
Diabetes,2004,M,80 to 84,235870,3890.0,53850,5400.0,11970.0
Diabetes,2004,M,85+,161060,2200.0,30400,5500.0,17330.0
Diabetes,2005,F,1 to 4,611540,160.0,380,0.0,130.0
Diabetes,2005,F,5 to 9,820920,270.0,1530,0.0,80.0
Diabetes,2005,F,10 to 14,946450,410.0,3230,0.0,100.0
Diabetes,2005,F,15 to 19,968610,480.0,4500,20.0,250.0
Diabetes,2005,F,20 to 24,983520,830.0,6630,20.0,300.0
Diabetes,2005,F,25 to 29,981940,1470.0,10420,20.0,290.0
Diabetes,2005,F,30 to 34,1016290,2490.0,16990,30.0,420.0
Diabetes,2005,F,35 to 39,1106540,3630.0,26160,70.0,580.0
Diabetes,2005,F,40 to 44,1275700,5530.0,40670,140.0,1150.0
Diabetes,2005,F,45 to 49,1246330,7260.0,55850,260.0,1720.0
Diabetes,2005,F,50 to 54,1106190,9210.0,72920,520.0,2270.0
Diabetes,2005,F,55 to 59,980080,10890.0,94550,870.0,2910.0
Diabetes,2005,F,60 to 64,739400,9870.0,93870,1210.0,3390.0
Diabetes,2005,F,65 to 69,593950,9230.0,95890,1830.0,3990.0
Diabetes,2005,F,70 to 74,524470,8300.0,99030,2780.0,5640.0
Diabetes,2005,F,75 to 79,466390,7270.0,95070,4160.0,8470.0
Diabetes,2005,F,80 to 84,377790,5510.0,76470,5260.0,12070.0
Diabetes,2005,F,85+,371420,4740.0,63070,8810.0,32200.0
Diabetes,2005,M,1 to 4,640620,200.0,470,0.0,220.0
Diabetes,2005,M,5 to 9,860820,330.0,1790,0.0,110.0
Diabetes,2005,M,10 to 14,994210,470.0,3460,0.0,140.0
Diabetes,2005,M,15 to 19,1017720,480.0,4870,10.0,550.0
Diabetes,2005,M,20 to 24,1017770,610.0,6110,20.0,810.0
Diabetes,2005,M,25 to 29,988250,1000.0,7920,30.0,700.0
Diabetes,2005,M,30 to 34,1002410,2110.0,13500,60.0,850.0
Diabetes,2005,M,35 to 39,1106330,3920.0,24750,100.0,1000.0
Diabetes,2005,M,40 to 44,1287420,6900.0,44780,230.0,1800.0
Diabetes,2005,M,45 to 49,1247520,9470.0,67580,390.0,2560.0
Diabetes,2005,M,50 to 54,1095530,12140.0,93750,820.0,3430.0
Diabetes,2005,M,55 to 59,969580,13990.0,124700,1490.0,4380.0
Diabetes,2005,M,60 to 64,724550,12410.0,124580,2250.0,4950.0
Diabetes,2005,M,65 to 69,556960,10800.0,118400,3040.0,5760.0
Diabetes,2005,M,70 to 74,467120,8940.0,111090,4210.0,7780.0
Diabetes,2005,M,75 to 79,369420,6680.0,92460,5450.0,10080.0
Diabetes,2005,M,80 to 84,243130,4060.0,58640,5520.0,11230.0
Diabetes,2005,M,85+,171930,2490.0,34520,5840.0,17110.0
Diabetes,2006,F,1 to 4,616160,200.0,430,0.0,190.0
Diabetes,2006,F,5 to 9,808900,290.0,1560,0.0,90.0
Diabetes,2006,F,10 to 14,930940,460.0,3320,0.0,110.0
Diabetes,2006,F,15 to 19,984030,460.0,4670,10.0,250.0
Diabetes,2006,F,20 to 24,989460,760.0,6740,20.0,260.0
Diabetes,2006,F,25 to 29,998690,1360.0,10790,20.0,290.0
Diabetes,2006,F,30 to 34,1016480,2330.0,17650,40.0,390.0
Diabetes,2006,F,35 to 39,1102600,3450.0,27410,60.0,560.0
Diabetes,2006,F,40 to 44,1252980,5360.0,42690,170.0,1000.0
Diabetes,2006,F,45 to 49,1269230,7510.0,59900,270.0,1730.0
Diabetes,2006,F,50 to 54,1139080,9630.0,78240,510.0,2380.0
Diabetes,2006,F,55 to 59,995380,11390.0,100160,980.0,2810.0
Diabetes,2006,F,60 to 64,794010,10810.0,105530,1370.0,3560.0
Diabetes,2006,F,65 to 69,613920,9730.0,103010,1930.0,4070.0
Diabetes,2006,F,70 to 74,525630,8840.0,104450,2930.0,5400.0
Diabetes,2006,F,75 to 79,471000,7750.0,101050,4210.0,8330.0
Diabetes,2006,F,80 to 84,381640,5780.0,81710,5560.0,12230.0
Diabetes,2006,F,85+,392690,4990.0,70940,10030.0,33680.0
Diabetes,2006,M,1 to 4,645470,200.0,460,0.0,200.0
Diabetes,2006,M,5 to 9,847780,340.0,1840,0.0,100.0
Diabetes,2006,M,10 to 14,979370,480.0,3590,0.0,120.0
Diabetes,2006,M,15 to 19,1033340,460.0,5030,10.0,480.0
Diabetes,2006,M,20 to 24,1023450,610.0,6410,20.0,860.0
Diabetes,2006,M,25 to 29,1002720,1030.0,8310,40.0,700.0
Diabetes,2006,M,30 to 34,997150,2160.0,13930,50.0,740.0
Diabetes,2006,M,35 to 39,1099220,4060.0,25890,110.0,1030.0
Diabetes,2006,M,40 to 44,1262550,7030.0,47080,210.0,1690.0
Diabetes,2006,M,45 to 49,1270960,10120.0,72250,420.0,2570.0
Diabetes,2006,M,50 to 54,1129270,12730.0,100190,930.0,3430.0
Diabetes,2006,M,55 to 59,982860,14800.0,130910,1560.0,4380.0
Diabetes,2006,M,60 to 64,778460,13930.0,139240,2490.0,5170.0
Diabetes,2006,M,65 to 69,578010,11970.0,128410,3310.0,5760.0
Diabetes,2006,M,70 to 74,470350,9660.0,118360,4490.0,7390.0
Diabetes,2006,M,75 to 79,379450,7270.0,99920,5870.0,10010.0
Diabetes,2006,M,80 to 84,250790,4600.0,64290,6010.0,11450.0
Diabetes,2006,M,85+,184670,2830.0,39400,6810.0,18250.0
Diabetes,2007,F,1 to 4,625720,180.0,430,0.0,170.0
Diabetes,2007,F,5 to 9,800900,280.0,1580,0.0,70.0
Diabetes,2007,F,10 to 14,914510,430.0,3360,0.0,80.0
Diabetes,2007,F,15 to 19,997370,490.0,4870,10.0,240.0
Diabetes,2007,F,20 to 24,994580,730.0,6880,20.0,260.0
Diabetes,2007,F,25 to 29,1016900,1270.0,11060,20.0,300.0
Diabetes,2007,F,30 to 34,1026530,2200.0,18110,30.0,370.0
Diabetes,2007,F,35 to 39,1100380,3300.0,28520,70.0,520.0
Diabetes,2007,F,40 to 44,1221770,4970.0,43710,180.0,960.0
Diabetes,2007,F,45 to 49,1288400,7080.0,62960,330.0,1750.0
Diabetes,2007,F,50 to 54,1175610,9060.0,82980,550.0,2300.0
Diabetes,2007,F,55 to 59,1013100,10680.0,104570,940.0,2940.0
Diabetes,2007,F,60 to 64,846640,10630.0,116250,1430.0,3540.0
Diabetes,2007,F,65 to 69,639790,9090.0,110130,2060.0,4110.0
Diabetes,2007,F,70 to 74,529930,8250.0,109480,2940.0,5270.0
Diabetes,2007,F,75 to 79,474070,7130.0,106200,4290.0,7920.0
Diabetes,2007,F,80 to 84,385400,5470.0,86980,5650.0,11430.0
Diabetes,2007,F,85+,412590,4900.0,78420,10670.0,33840.0
Diabetes,2007,M,1 to 4,656660,220.0,490,0.0,220.0
Diabetes,2007,M,5 to 9,839630,310.0,1830,0.0,90.0
Diabetes,2007,M,10 to 14,961490,540.0,3690,0.0,130.0
Diabetes,2007,M,15 to 19,1049110,460.0,5270,10.0,520.0
Diabetes,2007,M,20 to 24,1027140,590.0,6650,20.0,840.0
Diabetes,2007,M,25 to 29,1022860,1020.0,8840,30.0,670.0
Diabetes,2007,M,30 to 34,1001910,2010.0,14160,50.0,680.0
Diabetes,2007,M,35 to 39,1094930,3870.0,26690,100.0,990.0
Diabetes,2007,M,40 to 44,1228580,6640.0,48090,210.0,1610.0
Diabetes,2007,M,45 to 49,1292030,9880.0,76290,440.0,2560.0
Diabetes,2007,M,50 to 54,1167700,12410.0,106240,960.0,3530.0
Diabetes,2007,M,55 to 59,999250,13790.0,135440,1620.0,4410.0
Diabetes,2007,M,60 to 64,829540,13760.0,152420,2610.0,5310.0
Diabetes,2007,M,65 to 69,606250,11080.0,138860,3410.0,5910.0
Diabetes,2007,M,70 to 74,475770,8840.0,124660,4580.0,7000.0
Diabetes,2007,M,75 to 79,387470,6930.0,106700,6050.0,9650.0
Diabetes,2007,M,80 to 84,259650,4450.0,69880,6230.0,11080.0
Diabetes,2007,M,85+,196130,2770.0,44100,7170.0,18160.0
Diabetes,2008,F,1 to 4,639700,160.0,390,0.0,120.0
Diabetes,2008,F,5 to 9,800870,270.0,1580,0.0,90.0
Diabetes,2008,F,10 to 14,898210,460.0,3470,0.0,70.0
Diabetes,2008,F,15 to 19,1004910,460.0,5050,10.0,220.0
Diabetes,2008,F,20 to 24,1004760,770.0,7010,10.0,310.0
Diabetes,2008,F,25 to 29,1038290,1370.0,11300,30.0,290.0
Diabetes,2008,F,30 to 34,1043280,2330.0,18700,40.0,380.0
Diabetes,2008,F,35 to 39,1095490,3480.0,29580,60.0,550.0
Diabetes,2008,F,40 to 44,1191250,4860.0,44400,150.0,900.0
Diabetes,2008,F,45 to 49,1309110,7260.0,66050,340.0,1600.0
Diabetes,2008,F,50 to 54,1206540,9350.0,87640,540.0,2330.0
Diabetes,2008,F,55 to 59,1041780,10500.0,109210,980.0,2940.0
Diabetes,2008,F,60 to 64,891100,10870.0,125880,1440.0,3540.0
Diabetes,2008,F,65 to 69,669330,9390.0,118070,2040.0,4160.0
Diabetes,2008,F,70 to 74,541160,7850.0,115050,3010.0,5260.0
Diabetes,2008,F,75 to 79,476560,6780.0,110410,4330.0,7580.0
Diabetes,2008,F,80 to 84,389150,5320.0,91330,5750.0,11450.0
Diabetes,2008,F,85+,433970,4890.0,86440,11390.0,34680.0
Diabetes,2008,M,1 to 4,671910,210.0,480,0.0,220.0
Diabetes,2008,M,5 to 9,839760,320.0,1880,0.0,100.0
Diabetes,2008,M,10 to 14,943460,490.0,3720,10.0,130.0
Diabetes,2008,M,15 to 19,1056220,470.0,5580,10.0,440.0
Diabetes,2008,M,20 to 24,1040760,600.0,6800,30.0,710.0
Diabetes,2008,M,25 to 29,1046150,1030.0,9230,20.0,660.0
Diabetes,2008,M,30 to 34,1014970,2110.0,14650,50.0,670.0
Diabetes,2008,M,35 to 39,1088610,3920.0,27200,100.0,900.0
Diabetes,2008,M,40 to 44,1194980,6690.0,48990,210.0,1420.0
Diabetes,2008,M,45 to 49,1315720,10040.0,80260,470.0,2400.0
Diabetes,2008,M,50 to 54,1202060,12690.0,112130,950.0,3470.0
Diabetes,2008,M,55 to 59,1025030,13610.0,140420,1590.0,4410.0
Diabetes,2008,M,60 to 64,871520,13840.0,164020,2580.0,5420.0
Diabetes,2008,M,65 to 69,637620,11240.0,149470,3540.0,5790.0
Diabetes,2008,M,70 to 74,486770,8570.0,131560,4610.0,6790.0
Diabetes,2008,M,75 to 79,394620,6710.0,112640,6110.0,9280.0
Diabetes,2008,M,80 to 84,269130,4300.0,75600,6640.0,11160.0
Diabetes,2008,M,85+,209240,2700.0,49190,7820.0,18990.0
Diabetes,2009,F,1 to 4,654010,160.0,370,0.0,160.0
Diabetes,2009,F,5 to 9,801440,290.0,1590,0.0,70.0
Diabetes,2009,F,10 to 14,880590,430.0,3480,0.0,80.0
Diabetes,2009,F,15 to 19,1002140,500.0,5270,10.0,200.0
Diabetes,2009,F,20 to 24,1019010,830.0,7290,10.0,260.0
Diabetes,2009,F,25 to 29,1052940,1480.0,11590,30.0,330.0
Diabetes,2009,F,30 to 34,1057330,2430.0,19210,40.0,370.0
Diabetes,2009,F,35 to 39,1091710,3580.0,30610,80.0,540.0
Diabetes,2009,F,40 to 44,1165060,5030.0,45290,160.0,870.0
Diabetes,2009,F,45 to 49,1317080,7560.0,69230,340.0,1650.0
Diabetes,2009,F,50 to 54,1233150,9870.0,92020,560.0,2350.0
Diabetes,2009,F,55 to 59,1074990,11560.0,115410,930.0,2900.0
Diabetes,2009,F,60 to 64,934960,11970.0,136630,1650.0,3710.0
Diabetes,2009,F,65 to 69,697960,10070.0,126710,2100.0,4110.0
Diabetes,2009,F,70 to 74,552310,8400.0,120480,2900.0,5100.0
Diabetes,2009,F,75 to 79,479190,7020.0,115030,4270.0,7410.0
Diabetes,2009,F,80 to 84,392060,5170.0,95770,5920.0,10960.0
Diabetes,2009,F,85+,453620,5090.0,94830,11990.0,34520.0
Diabetes,2009,M,1 to 4,686740,190.0,460,0.0,200.0
