Election Date,Election Type,Parliament,Province,Riding,Last Name,First Name,Gender,Occupation,Party,Votes,Votes (%),Elected
1867-08-07,Gen,1,New Brunswick,ALBERT,WALLACE,John,,farmer,Liberal,778,52.14,1
1867-08-07,Gen,1,New Brunswick,ALBERT,STEVENS,Henry J.,,,Unknown,714,47.86,0
1867-08-07,Gen,1,New Brunswick,CARLETON,CONNELL,Hon. Charles,,general merchant,Liberal,accl.,,1
1867-08-07,Gen,1,New Brunswick,CHARLOTTE,BOLTON,John,,businessman,Liberal,1214,56.94,1
1867-08-07,Gen,1,New Brunswick,CHARLOTTE,THOMPSON,Robert,,,Unknown,918,43.06,0
1867-08-07,Gen,1,New Brunswick,CITY AND COUNTY OF ST. JOHN,GRAY,Hon. John H.,,lawyer,Conservative,accl.,,1
1867-08-07,Gen,1,New Brunswick,CITY OF ST. JOHN,TILLEY,Hon. Samuel Leonard,,druggist,Liberal-Conservative,1402,69.68,1
1867-08-07,Gen,1,New Brunswick,CITY OF ST. JOHN,WILSON,John,,,Unknown,610,30.32,0
1867-08-07,Gen,1,New Brunswick,GLOUCESTER,ANGLIN,Hon. Timothy Warren,,editor,Liberal,1061,61.26,1
1867-08-07,Gen,1,New Brunswick,GLOUCESTER,MEHAN,John,,,Unknown,671,38.74,0
1867-08-07,Gen,1,New Brunswick,KENT,RENAUD,Auguste,,farmer,Liberal,876,41.28,1
1867-08-07,Gen,1,New Brunswick,KENT,DES BRISAY,,,,Unknown,757,35.67,0
1867-08-07,Gen,1,New Brunswick,KENT,MCINERNAY,,,,Unknown,485,22.86,0
1867-08-07,Gen,1,New Brunswick,KENT,CUTLER,,,,Unknown,4,0.19,0
1867-08-07,Gen,1,New Brunswick,KING'S,RYAN,George,,farmer,Liberal,1303,54.61,1
1867-08-07,Gen,1,New Brunswick,KING'S,OTTY,,,,Unknown,1083,45.39,0
1867-08-07,Gen,1,New Brunswick,NORTHUMBERLAND,JOHNSON,Hon. John M.,,lawyer,Liberal,1226,61.83,1
1867-08-07,Gen,1,New Brunswick,NORTHUMBERLAND,GILLESPIE,Thos.F.,,,Unknown,757,38.17,0
1867-08-07,Gen,1,New Brunswick,QUEEN'S,FARRIS,John,,lumber merchant,Liberal,accl.,,1
1867-08-07,Gen,1,New Brunswick,RESTIGOUCHE,MCMILLAN,Hon. John,,merchant,Liberal,370,58.82,1
1867-08-07,Gen,1,New Brunswick,RESTIGOUCHE,PHILLIPS,John,,,Unknown,259,41.18,0
1867-08-07,Gen,1,New Brunswick,SUNBURY,BURPEE,Charles,,farmer,Liberal,664,60.97,1
1867-08-07,Gen,1,New Brunswick,SUNBURY,PERLEY,Wm. C.,,,Unknown,425,39.03,0
1867-08-07,Gen,1,New Brunswick,VICTORIA,COSTIGAN,John,,judge,Liberal-Conservative,778,57.93,1
1867-08-07,Gen,1,New Brunswick,VICTORIA,BEVERIDGE,Wm. B.,,,Unknown,549,40.88,0
1867-08-07,Gen,1,New Brunswick,VICTORIA,WORKMAN,James,,,Unknown,16,1.19,0
1867-08-07,Gen,1,New Brunswick,VICTORIA,TIBBETTS,James,,,Unknown,0,0,0
1867-08-07,Gen,1,New Brunswick,WESTMORLAND,SMITH,Hon. Albert James,,lawyer,Liberal,2207,82.94,1
1867-08-07,Gen,1,New Brunswick,WESTMORLAND,LANDRY,J.J.D.,,,Unknown,454,17.06,0
1867-08-07,Gen,1,New Brunswick,YORK,FISHER,Hon. Charles,,lawyer,Liberal,accl.,,1
1867-08-07,Gen,1,Nova Scotia,ANNAPOLIS,RAY,William H.,,farmer,Anti-Confederate,1171,53.54,1
1867-08-07,Gen,1,Nova Scotia,ANNAPOLIS,LONGLEY,,,merchant,Conservative,1016,46.46,0
1867-08-07,Gen,1,Nova Scotia,ANTIGONISH,MCDONALD,Hugh,,lawyer,Anti-Confederate,1238,76.04,1
1867-08-07,Gen,1,Nova Scotia,ANTIGONISH,HENRY,Wm. A.,,lawyer,Conservative,390,23.96,0
1867-08-07,Gen,1,Nova Scotia,CAPE BRETON,MCKEAGNEY,Hon. James,,lawyer,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nova Scotia,COLCHESTER,MCLELLAN,Archibald Woodbury,,lumber merchant,Anti-Confederate,1649,56.13,1
1867-08-07,Gen,1,Nova Scotia,COLCHESTER,ARCHIBALD,Hon. A.G.,,lawyer,Liberal-Conservative,1289,43.87,0
1867-08-07,Gen,1,Nova Scotia,CUMBERLAND,TUPPER,Hon. Charles,,physician,Conservative,1368,51.84,1
1867-08-07,Gen,1,Nova Scotia,CUMBERLAND,ANNAND,William,,,Anti-Confederate,1271,48.16,0
1867-08-07,Gen,1,Nova Scotia,DIGBY,SAVARY,Alfred W.,,lawyer,Anti-Confederate,792,47.97,1
1867-08-07,Gen,1,Nova Scotia,DIGBY,WADE,,,,Unknown,497,30.1,0
1867-08-07,Gen,1,Nova Scotia,DIGBY,MEHAN,,,,Unknown,362,21.93,0
1867-08-07,Gen,1,Nova Scotia,GUYSBOROUGH,CAMPBELL,Stewart,,lawyer,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nova Scotia,HALIFAX,JONES,Alfred,,merchant,Anti-Confederate,2381,26.28,1
1867-08-07,Gen,1,Nova Scotia,HALIFAX,POWERS,Patrick,,merchant,Anti-Confederate,2367,26.13,1
1867-08-07,Gen,1,Nova Scotia,HALIFAX,TOBIN,John,,,Unknown,2158,23.82,0
1867-08-07,Gen,1,Nova Scotia,HALIFAX,SHANNON,S.L.,,lawyer,Unknown,2154,23.77,0
1867-08-07,Gen,1,Nova Scotia,HANTS,HOWE,Hon. Joseph,,editor,Anti-Confederate,1530,61.54,1
1867-08-07,Gen,1,Nova Scotia,HANTS,KING,Jas.,,,Unknown,956,38.46,0
1867-08-07,Gen,1,Nova Scotia,INVERNESS,CAMERON,Hugh,,physician,Anti-Confederate,1186,66.37,1
1867-08-07,Gen,1,Nova Scotia,INVERNESS,McDonnell,S.,,lawyer,Conservative,601,33.63,0
1867-08-07,Gen,1,Nova Scotia,KINGS,CHIPMAN,William Henry,,merchant,Anti-Confederate,1472,69.08,1
1867-08-07,Gen,1,Nova Scotia,KINGS,COLEMAN,,,,Unknown,659,30.92,0
1867-08-07,Gen,1,Nova Scotia,LUNENBURG,MCDONALD,E.M.,,editor,Anti-Confederate,1557,63.24,1
1867-08-07,Gen,1,Nova Scotia,LUNENBURG,KAULBACK,H.A.N.,,,Unknown,905,36.76,0
1867-08-07,Gen,1,Nova Scotia,PICTOU,CARMICHAEL,James W.,,shipowner,Anti-Confederate,2011,54.89,1
1867-08-07,Gen,1,Nova Scotia,PICTOU,MCDONALD,J.,,lawyer,Conservative,1653,45.11,0
1867-08-07,Gen,1,Nova Scotia,QUEENS,FORBES,James F.,,physician,Anti-Confederate,844,75.7,1
1867-08-07,Gen,1,Nova Scotia,QUEENS,CAMPBELL,,,,Unknown,271,24.3,0
1867-08-07,Gen,1,Nova Scotia,RICHMOND,CROKE,William Joseph,,lawyer,Anti-Confederate,545,66.14,1
1867-08-07,Gen,1,Nova Scotia,RICHMOND,DONOVAN,,,,Unknown,279,33.86,0
1867-08-07,Gen,1,Nova Scotia,SHELBURNE,COFFIN,Thomas,,merchant,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nova Scotia,VICTORIA,ROSS,William,,commission merchant,Anti-Confederate,accl.,,1
1867-08-07,Gen,1,Nova Scotia,YARMOUTH,KILLAM,Hon. Thomas,,shipowner,Anti-Confederate,1225,64.78,1
1867-08-07,Gen,1,Nova Scotia,YARMOUTH,BROWN,George S.,,,Unknown,666,35.22,0
1867-08-07,Gen,1,Ontario,ADDINGTON,LAPUM,James N.,,postmaster,Conservative,1120,52.98,1
1867-08-07,Gen,1,Ontario,ADDINGTON,SHIBLEY,,,farmer,Liberal-Conservative,991,46.88,0
1867-08-07,Gen,1,Ontario,ADDINGTON,SMITH,Sir Henry,,,Unknown,2,0.09,0
1867-08-07,Gen,1,Ontario,ADDINGTON,PRICE,,,,Unknown,1,0.05,0
1867-08-07,Gen,1,Ontario,ADDINGTON,LOTT,,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,ADDINGTON,HAM,,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,ADDINGTON,CAMERON,D.,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,ALGOMA,SIMPSON,Wemyss Mackenzie,,trader,Conservative,250,47.26,1
1867-08-07,Gen,1,Ontario,ALGOMA,BEATTY,,,,Unknown,241,45.56,0
1867-08-07,Gen,1,Ontario,ALGOMA,MACDONELL,,,,Unknown,38,7.18,0
1867-08-07,Gen,1,Ontario,BOTHWELL,MILLS,David,,lawyer,Liberal,1333,52.13,1
1867-08-07,Gen,1,Ontario,BOTHWELL,GLASS,,,,Conservative,1224,47.87,0
1867-08-07,Gen,1,Ontario,BRANT NORTH,BOWN,John Young,,physician,Liberal-Conservative,672,50.07,1
1867-08-07,Gen,1,Ontario,BRANT NORTH,CLEMENT,,,,Unknown,670,49.93,0
1867-08-07,Gen,1,Ontario,BRANT SOUTH,WOOD,Hon. Edmund Burke,,lawyer,Liberal,1257,53.56,1
1867-08-07,Gen,1,Ontario,BRANT SOUTH,LEEMING,,,,Unknown,1090,46.44,0
1867-08-07,Gen,1,Ontario,BROCKVILLE,CRAWFORD,James,,contractor,Conservative,690,56.98,1
1867-08-07,Gen,1,Ontario,BROCKVILLE,CHAMBERS,,,,Unknown,521,43.02,0
1867-08-07,Gen,1,Ontario,BRUCE NORTH,SPROAT,Alexander,,treasurer,Conservative,862,50.29,1
1867-08-07,Gen,1,Ontario,BRUCE NORTH,DOUGLAS,,,physician,Unknown,852,49.71,0
1867-08-07,Gen,1,Ontario,BRUCE SOUTH,HURDON,Francis,,grain merchant,Conservative,1777,52.17,1
1867-08-07,Gen,1,Ontario,BRUCE SOUTH,RASTALL,,,,Unknown,1624,47.68,0
1867-08-07,Gen,1,Ontario,BRUCE SOUTH,HALL,,,,Unknown,5,0.15,0
1867-08-07,Gen,1,Ontario,CARDWELL,FERGUSON,Thomas Roberts,,merchant,Conservative,1155,51.72,1
1867-08-07,Gen,1,Ontario,CARDWELL,PHILIPS,,,physician,Unknown,1078,48.28,0
1867-08-07,Gen,1,Ontario,CARLETON,HOLMES,John,,provincial land surveyor,Liberal-Conservative,1087,51.94,1
1867-08-07,Gen,1,Ontario,CARLETON,ROCHESTER,,,lumber manufacturer,Conservative,1006,48.06,0
1867-08-07,Gen,1,Ontario,CORNWALL,MACDONALD,Hon. John Sandfield,,lawyer,Liberal,451,60.46,1
1867-08-07,Gen,1,Ontario,CORNWALL,MATTICE,,,,Unknown,295,39.54,0
1867-08-07,Gen,1,Ontario,DUNDAS,ROSS,John Sylvester,,mill owner,Liberal-Conservative,accl.,,1
1867-08-07,Gen,1,Ontario,DURHAM EAST,BURTON,Francis H.,,flour miller,Conservative,1134,71.55,1
1867-08-07,Gen,1,Ontario,DURHAM EAST,BEAMISH,,,,Unknown,451,28.45,0
1867-08-07,Gen,1,Ontario,DURHAM WEST,BLAKE,Edward,,lawyer,Liberal,1337,58.95,1
1867-08-07,Gen,1,Ontario,DURHAM WEST,MILNE,,,,Unknown,931,41.05,0
1867-08-07,Gen,1,Ontario,ELGIN EAST,DOBBIE,Thomas William,,land surveyor,Conservative,1492,51.91,1
1867-08-07,Gen,1,Ontario,ELGIN EAST,BURWELL,,,,Unknown,1382,48.09,0
1867-08-07,Gen,1,Ontario,ELGIN WEST,MUNROE,John H.,,real estate agent and broker,Conservative,970,55.88,1
1867-08-07,Gen,1,Ontario,ELGIN WEST,MCDOUGALL,,,,Unknown,766,44.12,0
1867-08-07,Gen,1,Ontario,ESSEX,O'CONNOR,John,,lawyer,Conservative,1439,50.12,1
1867-08-07,Gen,1,Ontario,ESSEX,RANKIN,A.,,,Unknown,1432,49.88,0
1867-08-07,Gen,1,Ontario,FRONTENAC,KIRKPATRICK,Thomas,,lawyer,Conservative,1242,64.19,1
1867-08-07,Gen,1,Ontario,FRONTENAC,CARRUTHERS,,,,Unknown,693,35.81,0
1867-08-07,Gen,1,Ontario,GLENGARRY,MACDONALD,Donald Alexander,,merchant,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,GRENVILLE SOUTH,SHANLY,Walter,,civil engineer,Conservative,899,55.19,1
1867-08-07,Gen,1,Ontario,GRENVILLE SOUTH,PATRICK,,,,Unknown,730,44.81,0
1867-08-07,Gen,1,Ontario,GREY NORTH,SNIDER,George,,crown lands agent,Liberal,1399,55.04,1
1867-08-07,Gen,1,Ontario,GREY NORTH,BOLTON,,,,Unknown,1143,44.96,0
1867-08-07,Gen,1,Ontario,GREY SOUTH,JACKSON,George,,crown lands agent,Conservative,1560,50.21,1
1867-08-07,Gen,1,Ontario,GREY SOUTH,DALGLEISH,,,,Unknown,1547,49.79,0
1867-08-07,Gen,1,Ontario,HALDIMAND,THOMPSON,David,,merchant,Liberal,1391,57.65,1
1867-08-07,Gen,1,Ontario,HALDIMAND,MCKINNON,,,,Unknown,1022,42.35,0
1867-08-07,Gen,1,Ontario,HALTON,WHITE,John,,lumber merchant,Liberal,1422,52.45,1
1867-08-07,Gen,1,Ontario,HALTON,CHISHOLM,,,,Unknown,1289,47.55,0
1867-08-07,Gen,1,Ontario,HAMILTON,MAGILL,Charles,,dry goods merchant,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,HASTINGS EAST,READ,Hon. Robert,,tanner,Conservative,1110,70.84,1
1867-08-07,Gen,1,Ontario,HASTINGS EAST,FARLEY,,,,Unknown,457,29.16,0
1867-08-07,Gen,1,Ontario,HASTINGS NORTH,BOWELL,Mackenzie,,editor,Conservative,928,59.3,1
1867-08-07,Gen,1,Ontario,HASTINGS NORTH,WALLBRIDGE,,,,Unknown,636,40.64,0
1867-08-07,Gen,1,Ontario,HASTINGS NORTH,MCLEAN,,,,Unknown,1,0.06,0
1867-08-07,Gen,1,Ontario,HASTINGS WEST,BROWN,James,,businessman,Conservative,773,71.18,1
1867-08-07,Gen,1,Ontario,HASTINGS WEST,HOLDEN,,,physician,Unknown,313,28.82,0
1867-08-07,Gen,1,Ontario,HURON NORTH,WHITEHEAD,Joseph,,railway contractor,Liberal,1940,49.33,1
1867-08-07,Gen,1,Ontario,HURON NORTH,HOLMES,,,,Unknown,1318,33.51,0
1867-08-07,Gen,1,Ontario,HURON NORTH,SLOAN,,,physician,Unknown,675,17.16,0
1867-08-07,Gen,1,Ontario,HURON SOUTH,CAMERON,Malcolm Collin,,lawyer,Liberal,1624,52.76,1
1867-08-07,Gen,1,Ontario,HURON SOUTH,RITCHIE,,,,Unknown,1453,47.21,0
1867-08-07,Gen,1,Ontario,HURON SOUTH,SILLS,,,,Unknown,1,0.03,0
1867-08-07,Gen,1,Ontario,KENT,STEPHENSON,Rufus,,editor,Conservative,1524,51.64,1
1867-08-07,Gen,1,Ontario,KENT,MCKELLAR,,,,Unknown,1427,48.36,0
1867-08-07,Gen,1,Ontario,KINGSTON,MACDONALD,"Hon. Sir John A., K.",,lawyer,Liberal-Conservative,735,83.81,1
1867-08-07,Gen,1,Ontario,KINGSTON,STEWART,John,,physician,Unknown,142,16.19,0
1867-08-07,Gen,1,Ontario,LAMBTON,MACKENZIE,Alexander,,contractor,Liberal,1999,60.39,1
1867-08-07,Gen,1,Ontario,LAMBTON,VIDAL,,,land surveyor,Conservative,1311,39.61,0
1867-08-07,Gen,1,Ontario,LANARK NORTH,MACDOUGALL,"Hon. William, C.B.",,lawyer,Liberal-Conservative,accl.,,1
1867-08-07,Gen,1,Ontario,LANARK SOUTH,MORRIS,Alexander,,lawyer,Conservative,accl.,,1
1867-08-07,Gen,1,Ontario,LEEDS NORTH AND GRENVILLE NORTH,JONES,Francis,,civil engineer,Conservative,923,51.85,1
1867-08-07,Gen,1,Ontario,LEEDS NORTH AND GRENVILLE NORTH,MONTGOMERY,,,,Unknown,857,48.15,0
1867-08-07,Gen,1,Ontario,LEEDS SOUTH,CRAWFORD,John,,lawyer,Conservative,1393,50.53,1
1867-08-07,Gen,1,Ontario,LEEDS SOUTH,RICHARDS,,,lawyer,Unknown,1364,49.47,0
1867-08-07,Gen,1,Ontario,LENNOX,CARTWRIGHT,Richard John,,businessman,Conservative,1268,53.05,1
1867-08-07,Gen,1,Ontario,LENNOX,GRANGE,,,,Unknown,1122,46.95,0
1867-08-07,Gen,1,Ontario,LINCOLN,BENSON,Hon. James Rea,,miller,Liberal-Conservative,accl.,,1
1867-08-07,Gen,1,Ontario,LONDON,CARLING,Hon. John,,brewer,Liberal-Conservative,1114,80.72,1
1867-08-07,Gen,1,Ontario,LONDON,PEACOCK,,,,Unknown,266,19.28,0
1867-08-07,Gen,1,Ontario,MIDDLESEX EAST,WILSON,Crowell,,farmer,Liberal-Conservative,1896,51.92,1
1867-08-07,Gen,1,Ontario,MIDDLESEX EAST,MCFIE,,,,Independent,1756,48.08,0
1867-08-07,Gen,1,Ontario,MIDDLESEX NORTH,SCATCHERD,Thomas,,lawyer,Liberal,1605,64.74,1
1867-08-07,Gen,1,Ontario,MIDDLESEX NORTH,WATSON,,,,Unknown,874,35.26,0
1867-08-07,Gen,1,Ontario,MIDDLESEX WEST,MCDONALD,Angus Peter,,contractor,Conservative,1063,50.45,1
1867-08-07,Gen,1,Ontario,MIDDLESEX WEST,BILLINGTON,,,,Unknown,1044,49.55,0
1867-08-07,Gen,1,Ontario,MONCK,MCCALLUM,Lachlin,,shipbuilding contractor,Liberal-Conservative,1126,56.38,1
1867-08-07,Gen,1,Ontario,MONCK,FRASER,,,physician,Unknown,871,43.62,0
1867-08-07,Gen,1,Ontario,NIAGARA,MORRISON,Angus,,lawyer,Conservative,300,54.55,1
1867-08-07,Gen,1,Ontario,NIAGARA,THOMSON,,,,Unknown,250,45.45,0
1867-08-07,Gen,1,Ontario,NORFOLK NORTH,WALSH,Aquila,,civil engineer,Conservative,1026,50.89,1
1867-08-07,Gen,1,Ontario,NORFOLK NORTH,DUNCOMBE,,,physician,Unknown,990,49.11,0
1867-08-07,Gen,1,Ontario,NORFOLK SOUTH,LAWSON,Peter,,tanner,Liberal,1050,52.01,1
1867-08-07,Gen,1,Ontario,NORFOLK SOUTH,WALKER,,,,Unknown,969,47.99,0
1867-08-07,Gen,1,Ontario,NORTHUMBERLAND EAST,KEELER,Joseph,,grain and lumber dealer,Liberal-Conservative,1607,66.02,1
1867-08-07,Gen,1,Ontario,NORTHUMBERLAND EAST,MCKENZIE,,,lawyer,Unknown,827,33.98,0
1867-08-07,Gen,1,Ontario,NORTHUMBERLAND EAST,MEYERS,,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,NORTHUMBERLAND WEST,COCKBURN,Hon. James,,lawyer,Conservative,accl.,,1
1867-08-07,Gen,1,Ontario,ONTARIO NORTH,THOMPSON,John Auld,,court commissioner,Liberal,1628,54.45,1
1867-08-07,Gen,1,Ontario,ONTARIO NORTH,CAMERON,Hon. M.C.,,lumber merchant,Liberal,1362,45.55,0
1867-08-07,Gen,1,Ontario,ONTARIO SOUTH,GIBBS,Thomas Nicholson,,merchant,Liberal-Conservative,1292,51.37,1
1867-08-07,Gen,1,Ontario,ONTARIO SOUTH,BROWN,Hon. Geo.,,,Unknown,1223,48.63,0
1867-08-07,Gen,1,Ontario,OTTAWA (CITY OF),CURRIER,Joseph Merrill,,lumberman,Liberal-Conservative,974,96.92,1
1867-08-07,Gen,1,Ontario,OTTAWA (CITY OF),GIBB,,,,Unknown,25,2.49,0
1867-08-07,Gen,1,Ontario,OTTAWA (CITY OF),MCGILLIVRAY,,,,Unknown,5,0.5,0
1867-08-07,Gen,1,Ontario,OTTAWA (CITY OF),MARTINEAU,,,,Unknown,1,0.1,0
1867-08-07,Gen,1,Ontario,OTTAWA (CITY OF),THOMPSON,,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,OTTAWA (CITY OF),DICKINSON,,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,OXFORD NORTH,OLIVER,Thomas,,teacher,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,OXFORD SOUTH,BODWELL,Ebenezer Vining,,general merchant,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,PEEL,CAMERON,Hon. John Hillyard,,lawyer,Conservative,1138,51.4,1
1867-08-07,Gen,1,Ontario,PEEL,BARBER,,,,Unknown,1076,48.6,0
1867-08-07,Gen,1,Ontario,PERTH NORTH,REDFORD,James,,lumberman,Liberal,1515,53.69,1
1867-08-07,Gen,1,Ontario,PERTH NORTH,DALY,,,contractor,Liberal-Conservative,1307,46.31,0
1867-08-07,Gen,1,Ontario,PERTH NORTH,GREY,,,,Unknown,0,0,0
1867-08-07,Gen,1,Ontario,PERTH SOUTH,MACFARLANE,Robert,,lawyer,Liberal,1490,51.68,1
1867-08-07,Gen,1,Ontario,PERTH SOUTH,GUEST,,,,Unknown,1393,48.32,0
1867-08-07,Gen,1,Ontario,PETERBOROUGH EAST,GROVER,Peregrine Maitland,,farmer,Conservative,956,59.75,1
1867-08-07,Gen,1,Ontario,PETERBOROUGH EAST,ANDERSON,,,,Unknown,644,40.25,0
1867-08-07,Gen,1,Ontario,PETERBOROUGH WEST,PERRY,Charles,,lumber dealer,Conservative,681,51.09,1
1867-08-07,Gen,1,Ontario,PETERBOROUGH WEST,GORDON,,,,Unknown,652,48.91,0
1867-08-07,Gen,1,Ontario,PRESCOTT,HAGAR,Albert,,merchant,Liberal,1205,90.26,1
1867-08-07,Gen,1,Ontario,PRESCOTT,HIGGINSON,,,,Unknown,130,9.74,0
1867-08-07,Gen,1,Ontario,PRINCE EDWARD,ROSS,Walter,,general merchant,Liberal,1779,65.38,1
1867-08-07,Gen,1,Ontario,PRINCE EDWARD,MCCUAIG,J.S.,,businessman,Conservative,942,34.62,0
1867-08-07,Gen,1,Ontario,RENFREW NORTH,RANKIN,John,,merchant,Conservative,613,53.77,1
1867-08-07,Gen,1,Ontario,RENFREW NORTH,MURRAY,,,,Unknown,527,46.23,0
1867-08-07,Gen,1,Ontario,RENFREW SOUTH,MCLACHLIN,Daniel,,lumber merchant,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,RUSSELL,GRANT,James Alexander,,physician,Conservative,1293,65.04,1
1867-08-07,Gen,1,Ontario,RUSSELL,BELL,,,,Unknown,695,34.96,0
1867-08-07,Gen,1,Ontario,SIMCOE NORTH,MCCONKEY,Thomas David,,merchant,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,SIMCOE SOUTH,LITTLE,William Carruthers,,farmer,Liberal-Conservative,1411,57.22,1
1867-08-07,Gen,1,Ontario,SIMCOE SOUTH,SAUNDERS,,,,Unknown,1055,42.78,0
1867-08-07,Gen,1,Ontario,STORMONT,AULT,Samuel,,warden,Liberal-Conservative,955,72.46,1
1867-08-07,Gen,1,Ontario,STORMONT,SINCLAIR,,,,Unknown,363,27.54,0
1867-08-07,Gen,1,Ontario,TORONTO EAST,BEATTY,James,,merchant,Conservative,1113,53.15,1
1867-08-07,Gen,1,Ontario,TORONTO EAST,AIKINS,,,,Unknown,980,46.8,0
1867-08-07,Gen,1,Ontario,TORONTO EAST,ALLEN,,,,Unknown,1,0.05,0
1867-08-07,Gen,1,Ontario,VICTORIA NORTH,MORRISON,John,,merchant,Liberal,687,63.03,1
1867-08-07,Gen,1,Ontario,VICTORIA NORTH,CAMERON,,,,Unknown,403,36.97,0
1867-08-07,Gen,1,Ontario,VICTORIA SOUTH,KEMPT,George,,lumber dealer,Liberal,1001,55.55,1
1867-08-07,Gen,1,Ontario,VICTORIA SOUTH,CAMERON,H.,,,Unknown,801,44.45,0
1867-08-07,Gen,1,Ontario,WATERLOO NORTH,BOWMAN,Isaac Erb,,businessman,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,WATERLOO SOUTH,YOUNG,James,,journalist,Liberal,1324,58.02,1
1867-08-07,Gen,1,Ontario,WATERLOO SOUTH,COWAN,James,,,Unknown,958,41.98,0
1867-08-07,Gen,1,Ontario,WELLAND,STREET,Thomas Clark,,lawyer,Conservative,accl.,,1
1867-08-07,Gen,1,Ontario,WELLINGTON CENTRE,PARKER,Thomas Sutherland,,physician,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,WELLINGTON NORTH,DREW,George Alexander,,lawyer,Liberal-Conservative,1493,54.02,1
1867-08-07,Gen,1,Ontario,WELLINGTON NORTH,FOLEY,,,journalist,Unknown,1271,45.98,0
1867-08-07,Gen,1,Ontario,WELLINGTON SOUTH,STIRTON,David,,magistrate,Liberal,963,59.63,1
1867-08-07,Gen,1,Ontario,WELLINGTON SOUTH,STONE,,,,Unknown,652,40.37,0
1867-08-07,Gen,1,Ontario,WENTWORTH NORTH,MCMONIES,James,,"merchant, sawmiller",Liberal,1154,51.36,1
1867-08-07,Gen,1,Ontario,WENTWORTH NORTH,BROWN,,,,Unknown,1093,48.64,0
1867-08-07,Gen,1,Ontario,WENTWORTH SOUTH,RYMAL,Joseph,,farmer,Liberal,1015,50.67,1
1867-08-07,Gen,1,Ontario,WENTWORTH SOUTH,ROBERTSON,,,,Unknown,988,49.33,0
1867-08-07,Gen,1,Ontario,WEST TORONTO,HARRISON,Robert Alexander,,lawyer,Conservative,1477,58.5,1
1867-08-07,Gen,1,Ontario,WEST TORONTO,MACDONALD,,,businessman,Independent Liberal,1048,41.5,0
1867-08-07,Gen,1,Ontario,YORK EAST,METCALFE,James,,builder,Liberal,1174,55.61,1
1867-08-07,Gen,1,Ontario,YORK EAST,MILNE,,,,Unknown,937,44.39,0
1867-08-07,Gen,1,Ontario,YORK NORTH,WELLS,James Pearson,,farmer,Liberal,accl.,,1
1867-08-07,Gen,1,Ontario,YORK WEST,HOWLAND,"Hon. William Pierce,",,businessman,Liberal-Conservative,810,73.17,1
1867-08-07,Gen,1,Ontario,YORK WEST,HUBERTUS,,,,Unknown,297,26.83,0
1867-08-07,Gen,1,Ontario,YORK WEST,BLAIN,,,,Unknown,0,0,0
1867-08-07,Gen,1,Quebec,ARGENTEUIL,ABBOTT,Hon. John Joseph Cal,,lawyer,Liberal-Conservative,693,53.8,1
1867-08-07,Gen,1,Quebec,ARGENTEUIL,HUTCHINS,B.,,,Unknown,595,46.2,0
1867-08-07,Gen,1,Quebec,BAGOT,GENDRON,Pierre-Samuel,,notary,Conservative,1156,56.53,1
1867-08-07,Gen,1,Quebec,BAGOT,LAFRAMBOISE,Hon. Maurice,,,Unknown,889,43.47,0
1867-08-07,Gen,1,Quebec,BEAUCE,POZER,Christian Henry,,lawyer,Liberal,1180,65.23,1
1867-08-07,Gen,1,Quebec,BEAUCE,TASCHEREAU,,,,Unknown,629,34.77,0
1867-08-07,Gen,1,Quebec,BEAUHARNOIS,CAYLEY,Michael,,lawyer,Conservative,724,51.17,1
1867-08-07,Gen,1,Quebec,BEAUHARNOIS,DENIS,,,,Unknown,691,48.83,0
1867-08-07,Gen,1,Quebec,BELLECHASSE,CASAULT,Napoléon,,lawyer,Conservative,983,59.43,1
1867-08-07,Gen,1,Quebec,BELLECHASSE,REMILLARD,,,,Unknown,671,40.57,0
1867-08-07,Gen,1,Quebec,BERTHIER,PAQUET,Anselme Homère,,physician,Liberal,1131,50.81,1
1867-08-07,Gen,1,Quebec,BERTHIER,TRACHEMONTAGNE,,,,Unknown,1095,49.19,0
1867-08-07,Gen,1,Quebec,BONAVENTURE,ROBITAILLE,Théodore,,physician,Conservative,1018,69.63,1
1867-08-07,Gen,1,Quebec,BONAVENTURE,TREMBLAY,,,,Unknown,444,30.37,0
1867-08-07,Gen,1,Quebec,BROME,DUNKIN,Hon. Christopher,,lawyer,Conservative,accl.,,1
1867-08-07,Gen,1,Quebec,CHAMBLY,BENOIT,Bazile,,farmer,Conservative,691,56.78,1
